Id,ActivityHour,StepTotal
4020332650,4/12/2016 10:00,559
4057192912,4/12/2016 10:00,0
4319703577,4/12/2016 10:00,0
4388161847,4/12/2016 10:00,0
4445114986,4/12/2016 10:00,6
4558609924,4/12/2016 10:00,526
4702921684,4/12/2016 10:00,353
5553957443,4/12/2016 10:00,65
5577150313,4/12/2016 10:00,276
6117666160,4/12/2016 10:00,0
6290855005,4/12/2016 10:00,1002
6775888955,4/12/2016 10:00,0
6962181067,4/12/2016 10:00,2477
7007744171,4/12/2016 10:00,972
7086361926,4/12/2016 10:00,26
8053475328,4/12/2016 10:00,0
8253242879,4/12/2016 10:00,5007
8378563200,4/12/2016 10:00,304
8583815059,4/12/2016 10:00,0
8792009665,4/12/2016 10:00,69
8877689391,4/12/2016 10:00,656
1503960366,4/12/2016 11:00,360
1624580081,4/12/2016 11:00,129
1644430081,4/12/2016 11:00,107
1844505072,4/12/2016 11:00,429
1927972279,4/12/2016 11:00,17
2022484408,4/12/2016 11:00,323
2026352035,4/12/2016 11:00,1174
2320127002,4/12/2016 11:00,654
2347167796,4/12/2016 11:00,169
2873212765,4/12/2016 11:00,328
3372868164,4/12/2016 11:00,290
3977333714,4/12/2016 11:00,0
4020332650,4/12/2016 11:00,886
4057192912,4/12/2016 11:00,411
4319703577,4/12/2016 11:00,0
4388161847,4/12/2016 11:00,0
4445114986,4/12/2016 11:00,171
4558609924,4/12/2016 11:00,397
4702921684,4/12/2016 11:00,209
5553957443,4/12/2016 11:00,52
5577150313,4/12/2016 11:00,1434
6117666160,4/12/2016 11:00,0
6290855005,4/12/2016 11:00,520
6775888955,4/12/2016 11:00,0
6962181067,4/12/2016 11:00,431
7007744171,4/12/2016 11:00,491
7086361926,4/12/2016 11:00,121
8053475328,4/12/2016 11:00,197
8253242879,4/12/2016 11:00,1791
8378563200,4/12/2016 11:00,521
8583815059,4/12/2016 11:00,35
8792009665,4/12/2016 11:00,81
8877689391,4/12/2016 11:00,2546
1503960366,4/12/2016 12:00,253
1624580081,4/12/2016 12:00,81
1644430081,4/12/2016 12:00,68
1844505072,4/12/2016 12:00,814
1927972279,4/12/2016 12:00,0
2022484408,4/12/2016 12:00,184
2026352035,4/12/2016 12:00,977
2320127002,4/12/2016 12:00,1140
2347167796,4/12/2016 12:00,179
2873212765,4/12/2016 12:00,1280
3372868164,4/12/2016 12:00,129
3977333714,4/12/2016 12:00,332
4020332650,4/12/2016 12:00,1002
4057192912,4/12/2016 12:00,102
4319703577,4/12/2016 12:00,0
4388161847,4/12/2016 12:00,0
4445114986,4/12/2016 12:00,197
4558609924,4/12/2016 12:00,230
4702921684,4/12/2016 12:00,937
5553957443,4/12/2016 12:00,656
5577150313,4/12/2016 12:00,58
6117666160,4/12/2016 12:00,0
6290855005,4/12/2016 12:00,215
6775888955,4/12/2016 12:00,0
6962181067,4/12/2016 12:00,128
